"Species","x","y","bio1","bio3","bio7","bio8","bio9","bio14","bio15","bio18"
"Reynoutria_japonica",-1.4793062696,43.3123605779,14.101224899292,37.1461219787598,22.0507774353027,8.58776473999023,20.733304977417,83.1592483520508,24.3533592224121,287.699584960938
"Reynoutria_japonica",-1.4793062696,49.2290272209,11.9120445251465,24.7302875518799,13.9787397384644,8.49180793762207,16.663761138916,47.8828239440918,29.2347183227539,174.068893432617
"Reynoutria_japonica",-1.5209729361,43.2706939114,14.094874382019,37.2146606445312,22.109827041626,8.57244682312012,20.7420616149902,84.6075286865234,19.846643447876,285.381164550781
"Reynoutria_japonica",-1.5209729361,60.2706938434,8.62378978729248,16.9588794708252,9.10935592651367,6.59606599807739,10.4478931427002,55.9303550720215,31.3537063598633,220.901565551758
"Reynoutria_japonica",-1.5626396026,42.2290272489,14.5277137756348,38.0792007446289,26.4013767242432,15.1984748840332,21.9489135742188,20.8763294219971,25.1549797058105,85.7144470214844
"Reynoutria_japonica",-1.6043062691,43.3123605779,13.8101654052734,36.5403213500977,21.5518112182617,8.4156379699707,20.3295822143555,82.6060256958008,24.1483325958252,279.402709960938
"Reynoutria_japonica",-1.6043062691,53.5623605369,9.39498805999756,35.0227966308594,17.7970905303955,7.17128467559814,5.91392183303833,54.6073417663574,13.3100385665894,215.371307373047
"Reynoutria_japonica",-1.6459729356,42.3540272484,14.5122756958008,38.3996887207031,25.9642925262451,15.2181615829468,21.7692241668701,22.7296943664551,24.904468536377,91.1001434326172
"Reynoutria_japonica",-1.6459729356,54.2706938674,9.5489559173584,33.6104431152344,16.8839244842529,5.48566579818726,6.11987638473511,44.1144485473633,16.3795204162598,214.602722167969
"Reynoutria_japonica",-1.6876396021,47.9790272259,11.9613523483276,36.6848907470703,19.8340129852295,7.31411790847778,17.9673824310303,50.732048034668,19.1037559509277,164.735992431641
"Reynoutria_japonica",-1.6876396021,55.4373605294,9.53632736206055,26.4948253631592,13.8681793212891,14.5088014602661,6.18615865707397,42.8965644836426,19.5850982666016,202.291198730469
"Reynoutria_japonica",-1.7293062686,40.5623605889,8.74532222747803,36.5486602783203,28.8299007415771,7.06905555725098,17.0783405303955,21.0098819732666,30.9852085113525,109.368850708008
"Reynoutria_japonica",-1.8126396016,43.2706939114,13.0196228027344,35.8038749694824,20.9095230102539,7.79080486297607,19.3888893127441,100.660797119141,24.7890377044678,336.966674804688
"Reynoutria_japonica",-1.8126396016,53.7706938694,8.86879539489746,34.670295715332,17.4544200897217,4.69963121414185,5.4069299697876,64.5547332763672,16.8227729797363,241.185699462891
"Reynoutria_japonica",-1.8543062681,48.3540272244,12.0337505340576,34.1282958984375,17.7981376647949,10.0412769317627,8.41962623596191,45.6513862609863,18.5404472351074,155.074157714844
"Reynoutria_japonica",-1.8543062681,54.0206938684,8.13096141815186,34.2906074523926,17.1708717346191,4.03333950042725,6.86783981323242,76.1604690551758,19.7663631439209,295.461730957031
"Reynoutria_japonica",-1.8543062681,55.2706938634,9.21023368835449,29.4472789764404,14.8588132858276,14.253791809082,5.86377429962158,43.0886573791504,19.0232200622559,208.04084777832
"Reynoutria_japonica",-1.8959729346,54.5206938664,9.05113124847412,33.3209381103516,16.5918502807617,5.06166887283325,7.76604080200195,48.1011772155762,18.6032619476318,228.656005859375
"Reynoutria_japonica",-1.9376396011,40.6873605884,10.4763822555542,36.2188110351562,29.0008659362793,8.82383346557617,18.9229526519775,20.2751064300537,32.1577606201172,100.648468017578
"Reynoutria_japonica",-1.9376396011,42.0623605829,13.4293556213379,38.3063354492188,26.4150676727295,12.2083368301392,20.869909286499,19.0907287597656,24.3122081756592,82.3726119995117
"Reynoutria_japonica",-1.9793062676,41.1040272534,11.2370538711548,36.4905700683594,28.2332992553711,9.66544342041016,19.4680728912354,22.366870880127,28.1578407287598,101.208190917969
"Reynoutria_japonica",-1.9793062676,41.9790272499,12.8117647171021,38.2060546875,26.5247344970703,15.1050901412964,20.3133964538574,22.3847522735596,22.3362216949463,95.429931640625
"Reynoutria_japonica",-10.1876395681,51.8956938769,10.8541965484619,21.3271083831787,9.33644104003906,8.60492515563965,11.1117095947266,127.746726989746,25.7604560852051,501.978454589844
"Reynoutria_japonica",-2.0209729341,57.5623605209,9.17076396942139,21.01491355896,11.3723011016846,8.04166603088379,6.08872318267822,48.8697395324707,20.9239196777344,204.484893798828
"Reynoutria_japonica",-2.0626396006,47.6873605604,12.3559465408325,36.2744331359863,19.3229465484619,7.88859939575195,18.207820892334,44.5010833740234,25.4408893585205,146.382400512695
"Reynoutria_japonica",-2.1043062671,42.9373605794,11.4993286132812,38.0102500915527,22.3040752410889,6.03894567489624,18.1272888183594,55.5264930725098,33.0249977111816,191.7451171875
