"x","y"
-4.669603,50.47826
-1.311692,53.460681
-1.677755,54.667455
-0.875552,52.272994
-1.70643,52.614361
-3.91877,55.942145
-8.40283,51.92229
-2.28215,53.58428
-2.096905,53.399149
-4.089659,50.656335
-3.111486,52.064999
-0.094756,51.605329
-2.630357,53.467335
-3.054549,55.872471
-3.47466,55.949429
-1.181937,51.613285
-2.5439,55.4892
-4.05642,53.173666
-0.418043,51.399784
1.441087,52.61478
0.959003,52.007326
-9.288668,53.847426
-3.34894,56.28887
-0.9801,51.1757
-2.087525,53.652312
-4.08103,52.1094
-3.374185,51.817794
-3.581241,51.523889
-4.823488,50.349901
-2.640597,53.445996
-2.179423,53.480589
-2.119011,51.789523
-3.05771,52.84538
-0.91316,52.23019
-1.697665,54.950792
-4.062498,56.026074
1.40179,52.40944
-1.982512,51.713896
-1.467797,54.506117
-3.609687,55.977709
-3.85524,50.65838
1.12449,52.806977
-1.850433,53.559482
-2.903533,53.420026
-1.901615,52.454263
-3.14065,51.85657
-4.308148,55.892987
-2.480157,51.414478
-0.052831,51.148991
-2.06426,55.76661
-0.90041,51.52097
-2.728539,53.455916
-2.726867,53.522004
-3.96735,52.40304
-2.028055,52.54235
-5.30297,50.14369
-4.310548,56.3008
-1.542331,54.851104
-1.853364,50.851675
-2.208282,53.160517
-7.252376,54.528971
1.168764,51.852287
-3.77567,52.108
-1.802124,53.794586
-1.432301,53.756412
1.6756,50.2731
-3.540736,50.620971
-1.538729,54.975818
-2.57537,51.4763
-2.249668,53.691465
-3.9013,50.58165
-2.399478,53.434213
0.284159,51.479939
1.369534,52.625833
-3.08635,53.176335
0.467317,51.271014
-3.107784,54.192904
-1.355368,53.309348
-3.0802,53.218102
-1.27615,53.49126
-0.322659,51.239548
-1.60452,53.38332
-4.055343,55.961557
-2.956542,53.190291
-3.98042,55.727
-1.719311,50.992999
0.106881,51.579449
-2.586724,51.485782
-2.11653,52.46288
-1.978586,52.587076
-1.365701,53.523334
-7.186804,54.922254
-3.53959,51.5952
-8.450813,52.243936
-0.79915,50.79415
-1.1539,51.533261
-1.903555,53.750799
0.136805,51.101468
-2.56893,51.51668
-0.112643,51.396892
-0.325588,51.055035
-0.61346,51.59825
-0.474281,51.399222
-2.216127,57.184115
-4.042247,52.913014
-4.7057,51.928672
-2.211811,53.591814
-1.67042,53.64111
-1.376485,53.155386
-2.33565,53.59541
-0.317328,51.662664
-3.239261,52.002636
0.160023,51.352913
0.139835,51.429457
-0.681678,52.538167
-4.953107,51.807666
-1.370989,53.917566
1.282236,52.611693
-0.27239,51.56028
-1.828641,54.52546
-4.482175,55.625223
-3.046954,52.438615
-1.778165,53.824681
-1.53952,53.32646
-2.849997,53.376374
-1.532417,55.067874
-3.784633,55.818619
-1.503829,53.702894
-2.453848,51.291834
-3.58309,51.59609
-7.381484,53.683038
-3.521841,56.499851
-2.44233,57.549282
-6.653999,52.914078
-2.54296,57.323994
-1.90361,53.32438
0.634882,51.94488
-4.970921,51.928038
-3.132024,56.548625
-1.940511,50.755991
-1.62176,53.71855
-3.008733,53.325831
0.16156,51.83721
-3.324345,50.9047
-1.459219,52.973058
0.12826,51.189212
-2.797483,54.577232
-6.892444,54.910761
-1.951215,51.649194
-3.37456,56.45869
-3.937215,52.393502
-1.357364,53.691278
-1.360944,53.624344
-2.174045,53.541673
-3.142156,51.514261
-2.14027,54.98776
-3.66722,52.854421
-0.75068,50.845897
-0.359183,51.179432
-1.087386,51.483255
-4.035756,50.834061
-0.48674,51.490322
-3.23332,56.62366
-1.33081,53.34832
-0.46339,51.63806
-0.936557,51.022233
-1.422755,50.938081
-2.15176,57.137937
-5.140314,50.234926
-0.38705,52.970131
-2.610316,53.232634
-4.446746,52.950176
-1.77924,54.97143
-7.318007,54.988634
-0.26752,51.86707
0.70692,51.785232
-6.70197,54.41409
-0.256191,51.473766
-3.883458,52.776346
0.257109,52.024005
-3.303922,51.669423
-2.613628,53.455126
-1.5469,52.387505
-2.759273,52.714159
-2.501867,53.507061
-0.983468,53.676017
-0.15943,51.17358
-1.25259,51.72797
